susceptible,infected,dead,recovered
997,3,0,0
994,5,1,0
990,8,2,0
984,12,3,1
980,13,5,2
969,21,7,3
962,23,9,6
955,24,13,8
942,29,16,13
931,30,23,16
924,33,25,18
908,40,27,25
891,41,37,31
871,47,48,34
853,52,59,36
831,53,73,43
810,63,81,46
794,63,90,53
776,61,106,57
754,68,116,62
724,80,126,70
701,81,141,77
674,85,151,90
656,77,168,99
624,85,181,110
601,82,199,118
581,79,215,125
563,73,232,132
532,82,246,140
517,75,262,146
500,73,273,154
483,67,291,159
468,61,303,168
460,54,312,174
453,45,325,177
441,48,332,179
433,48,337,182
426,37,347,190
417,39,349,195
416,28,355,201
411,25,360,204
405,27,362,206
401,23,368,208
392,26,372,210
390,20,378,212
388,18,382,212
386,13,386,215
386,12,387,215
383,11,390,216
380,10,394,216
380,7,396,217
379,7,396,218
377,8,397,218
374,9,399,218
374,8,400,218
372,8,401,219
366,13,402,219
365,13,402,220
361,16,403,220
361,11,408,220
361,9,409,221
360,6,413,221
360,4,414,222
359,5,414,222
358,3,417,222
358,3,417,222
358,3,417,222
358,2,417,223
358,1,418,223
358,0,419,223
