susceptible,infected,dead,recovered
1995,5,0,0
1991,8,0,1
1987,10,0,3
1962,31,0,7
1898,83,2,17
1768,185,5,42
1602,308,14,76
1366,454,28,152
1156,526,55,263
961,584,78,377
814,577,94,515
713,525,112,650
630,469,131,770
571,382,154,893
545,315,168,972
525,245,182,1048
507,200,195,1098
495,160,200,1145
485,127,210,1178
477,101,215,1207
470,75,223,1232
466,60,226,1248
466,46,228,1260
465,36,229,1270
462,30,229,1279
461,20,232,1287
461,18,232,1289
461,13,232,1294
461,9,233,1297
461,6,234,1299
460,6,235,1299
460,6,235,1299
460,4,235,1301
460,3,235,1302
460,1,235,1304
460,1,235,1304
460,0,235,1305
