susceptible,infected,dead,recovered
997,3,0,0
994,5,0,1
991,8,0,1
986,12,0,2
976,19,1,4
962,32,2,4
946,43,2,9
917,71,2,10
885,93,2,20
841,119,3,37
800,149,4,47
748,176,4,72
673,228,8,91
578,287,9,126
487,331,11,171
381,388,13,218
268,451,14,267
180,484,16,320
110,485,19,386
68,452,22,458
46,409,25,520
23,361,31,585
18,313,35,634
12,283,37,668
10,244,39,707
8,202,41,749
8,179,42,771
7,146,47,800
4,131,48,817
4,115,49,832
3,104,50,843
3,91,50,856
3,81,51,865
2,68,52,878
2,63,52,883
2,52,52,894
2,43,52,903
2,37,52,909
2,26,52,920
2,24,52,922
2,19,52,927
2,15,52,931
2,15,52,931
2,14,52,932
2,11,52,935
2,9,52,937
2,7,52,939
2,5,52,941
2,4,52,942
2,4,52,942
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,2,53,943
2,1,53,944
2,1,53,944
2,1,53,944
2,1,53,944
2,1,53,944
2,0,53,945
