susceptible,infected,dead,recovered
990,10,0,0
983,15,0,2
978,19,1,2
975,19,2,4
970,20,4,6
961,26,5,8
958,22,9,11
951,26,11,12
946,26,13,15
939,30,14,17
933,35,14,18
927,34,15,24
916,38,19,27
908,38,23,31
898,42,26,34
884,47,26,43
871,53,30,46
857,59,33,51
841,68,36,55
826,71,40,63
806,84,40,70
785,91,47,77
758,102,51,89
736,105,58,101
716,107,66,111
688,122,72,118
672,107,83,138
647,108,90,155
623,101,101,175
602,103,107,188
587,100,109,204
567,108,113,212
549,106,121,224
531,100,127,242
507,102,136,255
489,104,144,263
473,99,150,278
450,102,159,289
439,84,170,307
426,78,179,317
415,81,180,324
409,72,185,334
400,69,190,341
393,64,194,349
387,57,194,362
380,51,201,368
376,44,205,375
375,37,206,382
374,32,206,388
371,23,208,398
370,21,210,399
370,17,211,402
369,14,212,405
368,13,212,407
368,12,212,408
367,11,212,410
364,12,212,412
363,9,213,415
363,9,213,415
362,10,213,415
361,10,213,416
360,10,214,416
360,7,215,418
360,7,215,418
360,6,216,418
358,7,216,419
358,5,216,421
357,5,216,422
357,5,216,422
355,6,216,423
354,6,216,424
352,6,217,425
352,5,218,425
351,4,218,427
351,2,219,428
351,2,219,428
351,1,219,429
350,2,219,429
349,3,219,429
349,2,219,430
349,2,219,430
349,2,219,430
349,1,219,431
349,1,219,431
347,3,219,431
346,4,219,431
346,3,219,432
346,2,219,433
346,2,219,433
346,2,219,433
346,2,219,433
345,3,219,433
343,5,219,433
343,5,219,433
341,7,219,433
341,6,220,433
340,7,220,433
340,6,221,433
340,6,221,433
340,6,221,433
340,5,221,434
340,4,222,434
339,4,223,434
339,3,223,435
338,4,223,435
337,3,225,435
336,3,225,436
336,3,225,436
336,2,226,436
336,2,226,436
336,1,226,437
336,1,226,437
336,1,226,437
336,1,226,437
336,1,226,437
336,1,226,437
336,1,226,437
336,0,227,437
