susceptible,infected,dead,recovered
992,8,0,0
990,9,1,0
987,8,1,4
983,11,1,5
982,9,1,8
979,11,1,9
976,9,3,12
975,9,3,13
970,14,3,13
966,15,6,13
958,20,8,14
952,24,9,15
947,25,10,18
939,28,12,21
932,31,15,22
926,32,16,26
919,33,18,30
913,32,19,36
909,31,20,40
907,30,20,43
906,22,23,49
903,19,25,53
902,19,26,53
902,18,26,54
900,19,26,55
897,20,27,56
895,18,27,60
894,15,27,64
893,13,27,67
892,8,29,71
892,6,29,73
891,6,29,74
891,5,30,74
891,4,30,75
891,4,30,75
891,4,30,75
891,3,31,75
891,3,31,75
890,3,31,76
890,3,31,76
890,2,32,76
889,2,32,77
888,3,32,77
887,4,32,77
886,5,32,77
883,7,32,78
881,7,32,80
880,7,33,80
880,7,33,80
880,6,33,81
880,6,33,81
880,3,35,82
879,4,35,82
879,4,35,82
878,4,36,82
876,5,37,82
876,4,37,83
876,3,37,84
876,3,37,84
876,3,37,84
876,2,37,85
875,3,37,85
875,1,38,86
873,3,38,86
872,2,38,88
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,1,38,89
872,0,38,90
