susceptible,infected,dead,recovered
592,8,0,0
584,15,0,1
552,44,0,4
458,123,5,14
314,244,10,32
163,341,27,69
82,340,52,126
43,313,71,173
28,258,85,229
22,216,94,268
16,167,105,312
15,134,109,342
15,110,115,360
14,88,122,376
14,75,125,386
14,63,128,395
14,47,135,404
14,38,136,412
14,29,138,419
14,25,140,421
14,18,140,428
14,13,141,432
14,11,142,433
14,7,144,435
14,6,144,436
14,4,144,438
14,2,145,439
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,1,145,440
14,0,146,440
