susceptible,infected,dead,recovered
9995,5,0,0
9987,13,0,0
9968,27,1,4
9938,48,2,12
9898,80,5,17
9797,163,7,33
9623,289,11,77
9313,514,29,144
8770,912,49,269
7852,1571,94,483
6436,2548,155,861
4621,3622,273,1484
2873,4337,432,2358
1729,4339,615,3317
1112,3782,772,4334
829,3015,922,5234
696,2295,1060,5949
633,1748,1145,6474
578,1348,1214,6860
559,989,1272,7180
543,747,1309,7401
535,552,1335,7578
530,399,1356,7715
525,295,1376,7804
523,208,1387,7882
521,162,1394,7923
520,115,1402,7963
520,88,1404,7988
519,66,1408,8007
519,50,1409,8022
519,35,1413,8033
519,27,1415,8039
519,19,1415,8047
519,13,1415,8053
519,9,1417,8055
519,9,1417,8055
519,7,1417,8057
519,6,1417,8058
519,5,1417,8059
519,5,1417,8059
519,5,1417,8059
519,2,1417,8062
519,2,1417,8062
519,2,1417,8062
519,2,1417,8062
519,0,1417,8064
