susceptible,infected,dead,recovered
596,4,0,0
593,6,1,0
587,12,1,0
586,9,5,0
584,10,6,0
580,13,7,0
578,14,8,0
573,17,10,0
563,24,13,0
554,29,17,0
547,28,25,0
542,28,30,0
535,32,33,0
529,34,36,1
519,40,40,1
508,47,43,2
494,50,54,2
478,57,62,3
459,63,75,3
444,72,81,3
423,82,92,3
404,87,106,3
387,96,113,4
367,102,125,6
348,96,150,6
333,97,164,6
310,97,185,8
297,89,206,8
283,85,224,8
262,88,241,9
239,99,252,10
223,101,266,10
203,96,290,11
189,89,311,11
178,86,325,11
166,85,338,11
153,83,353,11
139,85,365,11
128,84,377,11
111,89,388,12
102,84,401,13
98,79,410,13
95,71,420,14
91,63,432,14
87,55,443,15
83,51,451,15
79,48,457,16
76,43,465,16
75,38,470,17
73,35,475,17
71,32,480,17
71,25,487,17
71,22,490,17
70,19,494,17
69,16,498,17
68,13,501,18
67,11,504,18
67,6,509,18
67,6,509,18
67,4,511,18
67,3,512,18
66,3,513,18
66,2,514,18
66,2,514,18
66,2,514,18
66,2,514,18
66,2,514,18
66,2,514,18
66,2,514,18
65,1,516,18
65,0,517,18
