susceptible,infected,dead,recovered
592,8,0,0
591,9,0,0
588,8,2,2
584,11,3,2
577,17,3,3
575,18,4,3
570,21,6,3
563,21,12,4
555,27,14,4
551,29,15,5
544,34,17,5
536,40,19,5
521,46,26,7
509,56,26,9
497,58,33,12
488,62,37,13
474,68,43,15
457,79,46,18
441,85,52,22
420,95,56,29
406,98,60,36
397,97,67,39
379,108,71,42
352,122,82,44
334,126,91,49
316,127,101,56
295,142,105,58
276,148,115,61
256,154,123,67
227,170,131,72
199,179,143,79
173,178,166,83
154,168,187,91
138,169,196,97
123,170,206,101
113,161,219,107
104,158,227,111
96,153,238,113
87,146,250,117
81,121,272,126
80,108,283,129
75,97,295,133
72,89,301,138
68,83,307,142
66,76,314,144
63,74,316,147
62,70,320,148
60,70,321,149
57,68,324,151
57,62,327,154
55,56,331,158
55,47,336,162
55,42,340,163
55,39,341,165
55,34,343,168
54,25,351,170
52,26,351,171
52,25,352,171
52,19,354,175
52,19,354,175
52,19,354,175
52,16,357,175
51,13,358,178
51,12,359,178
51,12,359,178
50,12,359,179
50,11,360,179
50,8,362,180
49,8,363,180
48,9,363,180
46,10,364,180
45,11,364,180
45,10,365,180
45,10,365,180
45,9,366,180
45,9,366,180
45,7,368,180
45,6,369,180
45,6,369,180
45,5,369,181
45,5,369,181
45,5,369,181
45,4,370,181
45,4,370,181
45,3,370,182
45,2,371,182
45,1,372,182
45,1,372,182
45,1,372,182
45,1,372,182
45,1,372,182
45,1,372,182
45,0,373,182
