susceptible,infected,dead,recovered
591,9,0,0
588,10,1,1
579,17,1,3
570,23,1,6
550,41,1,8
528,55,5,12
491,83,7,19
454,105,15,26
408,138,17,37
366,155,24,55
318,181,31,70
269,205,42,84
224,223,57,96
180,230,73,117
152,225,82,141
127,209,96,168
111,191,105,193
100,175,114,211
88,154,120,238
83,134,132,251
75,118,138,269
70,99,147,284
61,94,151,294
60,73,161,306
58,61,166,315
55,60,168,317
55,54,171,320
51,51,173,325
49,43,177,331
46,36,178,340
46,31,179,344
45,24,181,350
44,22,182,352
44,20,182,354
43,17,182,358
43,15,182,360
43,10,185,362
43,10,185,362
43,7,186,364
43,5,187,365
42,6,187,365
41,5,187,367
41,4,188,367
41,3,188,368
41,3,188,368
41,2,189,368
41,2,189,368
41,2,189,368
41,1,190,368
41,0,190,369
