susceptible,infected,dead,recovered
997,3,0,0
993,6,1,0
973,24,3,0
921,67,12,0
843,125,32,0
756,181,63,0
663,230,106,1
568,259,172,1
499,284,215,2
414,288,293,5
362,279,352,7
332,247,414,7
304,225,464,7
276,191,526,7
261,158,573,8
251,135,604,10
241,113,635,11
235,86,668,11
232,66,691,11
228,55,706,11
225,45,719,11
223,35,731,11
220,28,741,11
219,23,747,11
219,21,749,11
216,20,753,11
216,17,756,11
216,14,759,11
215,11,763,11
214,8,767,11
214,5,770,11
213,4,772,11
212,5,772,11
212,3,774,11
212,2,775,11
212,2,775,11
212,2,775,11
212,2,775,11
212,2,775,11
212,1,776,11
212,1,776,11
212,1,776,11
211,2,776,11
211,2,776,11
211,1,777,11
211,1,777,11
211,1,777,11
211,1,777,11
211,0,778,11
