susceptible,infected,dead,recovered
9995,5,0,0
9994,6,0,0
9993,5,1,1
9991,7,1,1
9990,4,5,1
9990,2,7,1
9989,3,7,1
9989,2,8,1
9988,3,8,1
9987,4,8,1
9986,5,8,1
9982,8,9,1
9981,8,10,1
9979,7,13,1
9975,10,14,1
9974,11,14,1
9969,14,16,1
9965,16,18,1
9956,25,18,1
9945,34,20,1
9920,56,22,2
9895,70,32,3
9875,76,44,5
9842,91,61,6
9796,120,76,8
9746,140,101,13
9689,166,125,20
9609,211,150,30
9521,257,185,37
9423,314,221,42
9346,336,267,51
9255,359,332,54
9145,393,396,66
9056,412,458,74
8967,417,521,95
8880,420,584,116
8799,392,672,137
8708,410,732,150
8611,432,793,164
8531,419,867,183
8466,407,930,197
8420,358,1012,210
8370,333,1073,224
8333,300,1129,238
8287,301,1164,248
8240,289,1209,262
8201,284,1247,268
8161,267,1296,276
8119,253,1341,287
8083,232,1383,302
8043,218,1424,315
8024,186,1460,330
7993,187,1483,337
7968,178,1512,342
7934,172,1545,349
7912,157,1575,356
7883,154,1601,362
7867,132,1629,372
7854,121,1646,379
7833,123,1661,383
7825,103,1683,389
7807,105,1696,392
7797,94,1712,397
7786,89,1726,399
7780,74,1742,404
7769,71,1754,406
7759,66,1768,407
7753,61,1777,409
7745,53,1790,412
7736,55,1795,414
7733,46,1804,417
7725,44,1812,419
7720,42,1819,419
7713,40,1826,421
7706,39,1833,422
7702,39,1835,424
7695,35,1844,426
7689,40,1844,427
7687,37,1847,429
7684,33,1853,430
7680,29,1858,433
7674,26,1865,435
7671,22,1872,435
7669,20,1876,435
7665,22,1878,435
7661,20,1883,436
7658,21,1885,436
7655,18,1891,436
7651,18,1895,436
7649,15,1898,438
7646,15,1900,439
7645,14,1900,441
7645,10,1902,443
7644,9,1904,443
7644,6,1905,445
7643,5,1907,445
7643,3,1908,446
7642,3,1909,446
7642,2,1910,446
7642,2,1910,446
7642,1,1911,446
7642,1,1911,446
7642,1,1911,446
7642,1,1911,446
7642,0,1911,447
