susceptible,infected,dead,recovered
291,9,0,0
277,21,1,1
250,43,6,1
199,87,13,1
141,124,33,2
88,141,63,8
53,153,83,11
37,130,118,15
28,109,143,20
24,84,170,22
22,68,184,26
18,62,193,27
15,53,205,27
15,45,212,28
15,38,217,30
15,28,225,32
15,24,227,34
15,16,235,34
15,12,238,35
15,11,239,35
14,10,241,35
14,10,241,35
14,6,245,35
14,4,247,35
14,4,247,35
14,4,247,35
14,4,247,35
14,3,248,35
14,3,248,35
14,3,248,35
14,3,248,35
14,2,249,35
14,1,249,36
14,1,249,36
14,1,249,36
14,1,249,36
14,0,249,37
