susceptible,infected,dead,recovered
1990,10,0,0
1984,11,4,1
1978,14,6,2
1967,22,8,3
1952,30,14,4
1918,54,21,7
1852,103,33,12
1744,185,54,17
1587,310,74,29
1426,410,119,45
1239,493,192,76
1055,556,291,98
906,561,395,138
808,513,500,179
735,454,597,214
680,394,675,251
627,324,757,292
593,278,820,309
560,245,862,333
545,190,914,351
532,160,945,363
523,127,979,371
512,113,995,380
504,92,1013,391
499,70,1034,397
494,56,1048,402
493,48,1055,404
491,38,1065,406
487,31,1074,408
486,25,1079,410
484,18,1086,412
483,15,1089,413
480,14,1092,414
480,9,1095,416
480,6,1097,417
480,3,1098,419
480,2,1098,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,1,1099,420
480,0,1100,420
