susceptible,infected,dead,recovered
6992,8,0,0
6982,17,0,1
6960,32,2,6
6911,77,5,7
6817,157,12,14
6622,328,24,26
6243,643,68,46
5563,1218,130,89
4405,2193,222,180
2791,3430,429,350
1395,4257,753,595
660,4313,1117,910
373,3891,1498,1238
266,3330,1877,1527
216,2845,2155,1784
176,2404,2414,2006
156,2047,2638,2159
147,1720,2836,2297
141,1458,2995,2406
133,1210,3140,2517
132,1036,3248,2584
131,868,3340,2661
131,731,3415,2723
131,612,3479,2778
131,513,3538,2818
129,432,3579,2860
129,360,3616,2895
129,311,3649,2911
128,268,3672,2932
128,227,3694,2951
128,198,3711,2963
128,163,3729,2980
128,142,3747,2983
128,122,3758,2992
128,109,3765,2998
128,82,3779,3011
128,70,3787,3015
128,61,3791,3020
128,48,3796,3028
128,43,3801,3028
128,39,3803,3030
128,34,3808,3030
128,31,3809,3032
128,27,3811,3034
128,19,3816,3037
128,16,3817,3039
128,13,3818,3041
128,10,3819,3043
128,7,3821,3044
128,6,3822,3044
128,4,3823,3045
128,4,3823,3045
128,4,3823,3045
128,3,3823,3046
128,3,3823,3046
128,3,3823,3046
128,2,3824,3046
128,2,3824,3046
128,2,3824,3046
128,2,3824,3046
128,1,3824,3047
128,0,3825,3047
