susceptible,infected,dead,recovered
6993,7,0,0
6986,12,1,1
6969,25,5,1
6953,27,12,8
6947,21,19,13
6941,18,25,16
6933,21,27,19
6923,25,33,19
6916,27,35,22
6905,33,36,26
6894,31,45,30
6889,30,50,31
6877,28,59,36
6870,24,68,38
6856,27,75,42
6843,32,79,46
6837,22,89,52
6834,15,94,57
6833,7,99,61
6832,5,102,61
6830,5,103,62
6826,8,104,62
6822,11,104,63
6818,11,105,66
6814,11,108,67
6811,10,110,69
6808,8,114,70
6808,4,117,71
6807,3,119,71
6807,2,120,71
6807,1,121,71
6807,1,121,71
6807,1,121,71
6807,1,121,71
6807,1,121,71
6806,2,121,71
6806,0,123,71
