susceptible,infected,dead,recovered
9991,9,0,0
9981,17,1,1
9970,26,1,3
9957,37,1,5
9930,60,2,8
9892,90,7,11
9820,152,12,16
9720,230,24,26
9574,333,45,48
9367,484,70,79
9064,686,113,137
8661,965,167,207
8122,1332,243,303
7477,1756,342,425
6607,2311,465,617
5626,2899,644,831
4589,3438,858,1115
3638,3779,1116,1467
2789,3978,1385,1848
2182,3905,1689,2224
1734,3671,1966,2629
1413,3348,2233,3006
1203,3000,2470,3327
1035,2618,2700,3647
922,2279,2879,3920
842,1981,3021,4156
785,1669,3179,4367
745,1439,3284,4532
727,1220,3384,4669
703,1038,3483,4776
686,867,3570,4877
676,741,3626,4957
668,625,3686,5021
662,520,3722,5096
660,433,3754,5153
657,364,3784,5195
656,307,3811,5226
654,261,3828,5257
654,212,3843,5291
654,180,3852,5314
653,144,3870,5333
652,124,3878,5346
651,104,3885,5360
651,87,3897,5365
651,70,3904,5375
650,55,3908,5387
650,45,3909,5396
650,39,3910,5401
650,31,3912,5407
650,25,3916,5409
649,23,3918,5410
649,21,3920,5410
649,19,3922,5410
649,13,3923,5415
649,11,3925,5415
649,8,3926,5417
648,8,3926,5418
648,8,3926,5418
648,8,3926,5418
648,7,3927,5418
648,5,3929,5418
648,4,3929,5419
648,4,3929,5419
648,3,3929,5420
648,3,3929,5420
648,3,3929,5420
648,2,3930,5420
648,2,3930,5420
648,0,3931,5421
