susceptible,infected,dead,recovered
9992,8,0,0
9979,19,0,2
9915,80,1,4
9682,298,3,17
8817,1105,18,60
6903,2775,66,256
4357,4759,167,717
2265,5884,382,1469
1254,5700,646,2400
787,5009,916,3288
581,4163,1152,4104
451,3426,1315,4808
389,2769,1474,5368
354,2223,1586,5837
329,1797,1683,6191
322,1451,1774,6453
311,1173,1828,6688
303,932,1889,6876
301,745,1932,7022
300,598,1969,7133
298,490,1991,7221
297,381,2011,7311
296,291,2035,7378
294,239,2052,7415
292,191,2065,7452
292,151,2078,7479
292,125,2082,7501
292,98,2092,7518
292,75,2098,7535
292,60,2102,7546
292,47,2104,7557
292,40,2106,7562
292,31,2107,7570
292,25,2108,7575
292,22,2109,7577
292,17,2111,7580
292,15,2112,7581
292,11,2114,7583
292,6,2116,7586
292,6,2116,7586
292,6,2116,7586
292,6,2116,7586
292,4,2116,7588
292,4,2116,7588
292,2,2116,7590
292,2,2116,7590
292,2,2116,7590
292,1,2116,7591
292,0,2116,7592
