susceptible,infected,dead,recovered
993,7,0,0
989,11,0,0
975,23,2,0
952,40,6,2
914,71,7,8
849,104,20,27
771,151,34,44
668,224,45,63
571,259,66,104
503,267,90,140
445,251,114,190
410,225,141,224
384,193,169,254
359,157,189,295
341,134,205,320
328,113,218,341
319,92,229,360
313,71,237,379
307,64,243,386
301,56,247,396
299,44,250,407
296,37,251,416
294,25,260,421
292,21,263,424
290,20,265,425
289,16,267,428
287,15,267,431
287,14,268,431
287,8,271,434
287,6,272,435
286,6,272,436
285,6,272,437
284,5,274,437
284,4,275,437
284,3,275,438
284,2,275,439
284,2,275,439
284,2,275,439
284,1,276,439
284,0,277,439
