susceptible,infected,dead,recovered
594,6,0,0
589,9,2,0
582,15,3,0
574,21,5,0
560,28,8,4
538,46,10,6
507,67,15,11
477,78,25,20
432,99,35,34
383,118,51,48
342,133,66,59
301,141,81,77
263,133,108,96
235,130,123,112
209,121,143,127
183,111,163,143
171,94,182,153
156,74,205,165
142,70,218,170
132,59,232,177
125,49,242,184
122,35,252,191
119,32,256,193
117,26,261,196
115,21,264,200
114,18,268,200
114,14,270,202
114,12,272,202
114,8,273,205
114,6,273,207
114,4,274,208
114,1,276,209
114,1,276,209
114,1,276,209
114,1,276,209
114,0,276,210
