susceptible,infected,dead,recovered
995,5,0,0
989,9,1,1
983,12,2,3
976,15,4,5
968,21,6,5
956,26,8,10
948,24,15,13
935,23,25,17
924,27,31,18
914,32,35,19
893,42,44,21
872,46,53,29
837,66,63,34
794,87,78,41
749,104,93,54
699,118,110,73
650,120,134,96
605,111,164,120
564,104,192,140
523,98,216,163
493,96,239,172
456,101,258,185
436,95,273,196
417,75,300,208
399,67,319,215
385,60,331,224
373,54,345,228
364,42,362,232
356,29,376,239
351,25,380,244
346,21,384,249
342,17,388,253
339,16,390,255
336,14,392,258
334,12,395,259
333,10,397,260
333,7,400,260
333,5,401,261
332,4,402,262
332,3,403,262
329,6,403,262
329,5,404,262
328,6,404,262
327,6,404,263
327,3,405,265
327,2,406,265
327,1,406,266
327,1,406,266
327,1,406,266
327,0,407,266
