susceptible,infected,dead,recovered
596,4,0,0
595,4,1,0
592,5,3,0
589,6,4,1
587,8,4,1
584,8,7,1
582,8,9,1
575,14,10,1
569,17,12,2
557,27,14,2
550,26,21,3
544,22,29,5
535,22,37,6
525,23,46,6
514,33,47,6
500,42,50,8
481,50,58,11
468,57,64,11
455,57,74,14
435,61,87,17
416,71,95,18
401,77,101,21
375,86,117,22
357,76,141,26
332,91,151,26
310,96,166,28
285,96,188,31
260,95,211,34
237,91,232,40
222,86,250,42
202,87,263,48
184,82,282,52
175,70,301,54
158,72,312,58
151,65,324,60
142,58,338,62
140,48,348,64
134,44,356,66
131,32,367,70
130,27,372,71
128,17,383,72
127,13,388,72
126,12,390,72
123,11,393,73
122,10,395,73
120,11,395,74
118,11,397,74
116,10,400,74
113,11,401,75
112,9,404,75
112,6,407,75
109,8,408,75
109,8,408,75
106,9,410,75
104,9,411,76
103,9,412,76
102,7,415,76
102,6,416,76
102,5,417,76
101,6,417,76
100,5,419,76
99,4,420,77
99,4,420,77
99,2,422,77
99,1,423,77
99,1,423,77
99,1,423,77
99,0,424,77
