susceptible,infected,dead,recovered
3991,9,0,0
3988,7,1,4
3969,26,1,4
3938,47,4,11
3868,98,9,25
3761,173,14,52
3626,260,32,82
3462,337,46,155
3252,449,69,230
3043,507,114,336
2829,553,148,470
2621,597,192,590
2462,580,227,731
2319,562,268,851
2192,504,313,991
2102,438,356,1104
2006,389,389,1216
1940,331,424,1305
1882,279,455,1384
1854,228,483,1435
1823,187,496,1494
1793,154,514,1539
1781,130,522,1567
1766,110,529,1595
1754,86,541,1619
1749,65,548,1638
1738,60,555,1647
1736,46,561,1657
1733,39,562,1666
1731,31,567,1671
1730,25,567,1678
1729,20,569,1682
1728,14,573,1685
1728,8,574,1690
1728,3,574,1695
1728,3,574,1695
1728,3,574,1695
1727,3,574,1696
1727,2,574,1697
1726,2,574,1698
1725,3,574,1698
1725,2,575,1698
1725,2,575,1698
1724,3,575,1698
1724,2,575,1699
1724,2,575,1699
1724,2,575,1699
1724,2,575,1699
1724,2,575,1699
1724,1,575,1700
1724,1,575,1700
1724,0,576,1700
