susceptible,infected,dead,recovered
992,8,0,0
984,15,1,0
966,32,2,0
944,52,4,0
923,69,8,0
900,86,13,1
885,90,24,1
869,96,33,2
851,105,42,2
829,115,53,3
805,129,63,3
786,133,77,4
769,132,95,4
754,134,105,7
737,135,118,10
712,140,135,13
700,135,150,15
686,135,164,15
667,141,177,15
649,143,189,19
623,151,206,20
609,149,222,20
594,149,236,21
576,151,251,22
563,147,263,27
551,146,274,29
542,140,287,31
531,134,302,33
520,133,314,33
509,126,328,37
498,124,340,38
488,123,351,38
482,122,355,41
475,119,363,43
464,115,375,46
453,118,383,46
440,123,388,49
428,117,403,52
422,106,418,54
415,101,429,55
410,98,437,55
407,94,443,56
405,82,456,57
403,76,463,58
398,71,472,59
394,69,476,61
391,62,484,63
385,57,495,63
379,54,502,65
376,48,508,68
376,45,511,68
375,40,517,68
372,36,524,68
370,35,525,70
367,31,531,71
365,29,535,71
363,26,540,71
362,25,540,73
357,29,541,73
357,25,543,75
354,26,544,76
353,25,546,76
352,22,550,76
350,23,551,76
347,22,555,76
344,23,557,76
343,22,559,76
337,27,560,76
333,27,563,77
331,25,567,77
324,29,569,78
319,29,573,79
318,28,575,79
316,28,577,79
311,29,581,79
306,33,582,79
303,34,584,79
302,34,585,79
300,32,589,79
294,32,595,79
292,28,601,79
292,26,603,79
289,28,604,79
284,29,607,80
280,30,609,81
277,28,614,81
276,26,617,81
274,27,618,81
274,25,620,81
274,22,622,82
273,20,625,82
271,20,627,82
270,19,629,82
269,19,630,82
267,18,633,82
266,15,637,82
265,12,641,82
265,11,642,82
265,10,643,82
265,9,644,82
265,9,644,82
265,8,645,82
265,7,646,82
265,6,647,82
265,6,647,82
265,5,647,83
265,5,647,83
265,5,647,83
265,5,647,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,4,648,83
265,3,649,83
265,3,649,83
265,3,649,83
265,3,649,83
265,3,649,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,2,650,83
265,1,651,83
265,1,651,83
265,1,651,83
265,0,652,83
