susceptible,infected,dead,recovered
997,3,0,0
996,4,0,0
993,6,0,1
992,7,0,1
987,10,1,2
981,13,3,3
974,18,4,4
963,27,5,5
957,25,11,7
955,21,15,9
953,18,18,11
949,21,19,11
941,24,23,12
935,26,26,13
928,31,27,14
925,29,30,16
922,23,37,18
919,24,38,19
916,22,40,22
913,21,42,24
907,24,45,24
903,25,46,26
900,17,53,30
895,18,55,32
889,21,58,32
885,19,61,35
878,23,63,36
872,24,66,38
869,23,68,40
867,20,71,42
865,17,75,43
864,15,77,44
863,12,81,44
862,9,84,45
861,7,86,46
861,6,87,46
861,5,87,47
860,4,88,48
859,4,89,48
859,4,89,48
858,5,89,48
857,4,90,49
857,4,90,49
856,5,90,49
853,6,91,50
849,10,91,50
843,14,91,52
837,14,94,55
835,14,95,56
835,11,97,57
835,6,100,59
834,7,100,59
833,5,102,60
832,4,102,62
830,5,103,62
828,5,104,63
828,1,107,64
828,1,107,64
828,1,107,64
828,1,107,64
828,1,107,64
828,0,108,64
