susceptible,infected,dead,recovered
598,2,0,0
598,2,0,0
598,2,0,0
597,3,0,0
594,6,0,0
590,10,0,0
580,18,2,0
569,28,3,0
542,51,7,0
515,72,13,0
482,97,20,1
442,122,33,3
395,149,51,5
356,170,65,9
318,180,93,9
291,191,107,11
267,175,140,18
243,177,157,23
226,168,181,25
217,151,203,29
200,144,222,34
187,135,242,36
184,114,264,38
179,96,285,40
172,89,297,42
169,77,309,45
168,62,323,47
165,62,326,47
160,63,330,47
158,60,334,48
156,52,343,49
153,50,347,50
149,45,356,50
144,43,361,52
142,35,370,53
141,33,373,53
141,25,381,53
141,19,387,53
140,16,391,53
138,11,397,54
138,8,399,55
138,7,400,55
138,5,402,55
137,5,403,55
137,5,403,55
137,5,403,55
137,4,403,56
137,4,403,56
137,3,404,56
137,2,405,56
137,2,405,56
137,2,405,56
137,2,405,56
137,1,406,56
137,1,406,56
137,1,406,56
137,1,406,56
137,0,407,56
