susceptible,infected,dead,recovered
992,8,0,0
980,17,0,3
957,39,0,4
933,52,0,15
914,55,3,28
893,63,7,37
873,69,7,51
861,68,7,64
845,67,10,78
835,60,12,93
821,54,13,112
810,53,14,123
800,51,16,133
793,42,17,148
780,43,17,160
769,45,17,169
753,45,19,183
730,58,19,193
714,60,20,206
690,63,21,226
682,54,21,243
676,45,23,256
669,48,23,260
658,49,25,268
639,57,27,277
624,61,29,286
612,57,33,298
607,51,35,307
605,47,35,313
602,31,41,326
600,26,41,333
599,24,41,336
595,24,43,338
594,20,43,343
590,19,43,348
586,20,43,351
584,18,43,355
580,19,44,357
578,18,44,360
578,11,45,366
577,8,45,370
574,9,45,372
570,11,45,374
568,12,45,375
566,11,45,378
565,10,46,379
565,6,47,382
565,4,47,384
565,3,47,385
565,1,48,386
565,0,48,387
