susceptible,infected,dead,recovered
6992,8,0,0
6982,18,0,0
6899,96,0,5
6647,315,11,27
6097,745,48,110
5330,1227,141,302
4445,1662,280,613
3693,1831,469,1007
3006,1860,697,1437
2565,1659,913,1863
2268,1388,1091,2253
2027,1122,1257,2594
1892,878,1404,2826
1805,656,1490,3049
1742,462,1574,3222
1694,342,1622,3342
1660,232,1673,3435
1647,159,1701,3493
1637,111,1721,3531
1633,79,1732,3556
1628,60,1739,3573
1628,39,1747,3586
1627,28,1751,3594
1625,21,1753,3601
1625,14,1757,3604
1625,9,1758,3608
1625,5,1761,3609
1625,2,1762,3611
1625,1,1762,3612
1625,1,1762,3612
1625,0,1763,3612
