susceptible,infected,dead,recovered
295,5,0,0
295,4,0,1
294,5,0,1
293,5,1,1
290,8,1,1
286,11,1,2
284,12,1,3
279,15,3,3
276,17,4,3
270,23,4,3
264,27,4,5
261,29,5,5
256,34,5,5
244,41,6,9
238,42,9,11
230,45,13,12
218,50,18,14
208,56,19,17
201,61,19,19
187,70,20,23
178,73,23,26
165,78,29,28
151,87,31,31
134,94,35,37
122,95,41,42
113,94,47,46
105,94,50,51
95,91,56,58
82,94,63,61
74,93,68,65
66,89,76,69
63,85,80,72
60,75,87,78
55,68,93,84
49,73,94,84
42,75,96,87
39,73,99,89
36,71,104,89
34,68,107,91
34,61,109,96
34,53,116,97
33,52,117,98
29,52,120,99
24,55,122,99
20,56,122,102
20,53,123,104
20,49,125,106
19,43,128,110
18,42,129,111
17,38,131,114
17,35,131,117
15,33,135,117
12,32,137,119
12,29,139,120
12,27,140,121
12,25,141,122
12,19,142,127
12,17,142,129
11,15,143,131
11,14,144,131
11,10,147,132
11,9,148,132
11,8,149,132
11,7,149,133
11,6,149,134
11,5,149,135
11,5,149,135
11,5,149,135
11,4,149,136
11,4,149,136
11,4,149,136
11,4,149,136
11,4,149,136
11,3,150,136
11,3,150,136
11,3,150,136
11,3,150,136
11,2,151,136
11,2,151,136
11,2,151,136
11,2,151,136
11,2,151,136
11,2,151,136
11,2,151,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,1,152,136
11,0,153,136
