susceptible,infected,dead,recovered
1996,4,0,0
1994,5,1,0
1989,8,1,2
1984,12,1,3
1970,22,2,6
1952,30,5,13
1935,36,10,19
1917,42,15,26
1893,58,18,31
1862,70,27,41
1827,84,35,54
1775,111,43,71
1715,128,59,98
1643,153,77,127
1560,191,90,159
1447,240,110,203
1321,293,139,247
1174,330,173,323
1038,364,213,385
899,387,255,459
775,374,308,543
670,353,362,615
586,314,407,693
504,295,444,757
441,263,485,811
378,243,518,861
328,211,549,912
292,181,572,955
265,141,597,997
248,107,617,1028
237,82,631,1050
223,73,640,1064
210,55,648,1087
204,38,652,1106
202,26,659,1113
201,21,662,1116
200,17,663,1120
196,14,665,1125
196,9,667,1128
194,9,668,1129
194,4,668,1134
194,2,669,1135
194,1,669,1136
194,1,669,1136
194,1,669,1136
194,0,669,1137
