susceptible,infected,dead,recovered
997,3,0,0
996,3,0,1
992,5,1,2
988,7,1,4
980,14,1,5
963,24,4,9
949,31,9,11
934,34,13,19
915,39,19,27
895,42,25,38
880,47,32,41
863,52,37,48
833,67,44,56
795,82,52,71
763,87,64,86
727,94,82,97
695,94,100,111
662,94,114,130
640,88,124,148
620,81,136,163
603,74,147,176
593,65,154,188
589,52,162,197
581,42,168,209
575,33,178,214
573,25,184,218
571,19,189,221
569,12,194,225
565,11,197,227
563,9,198,230
562,7,199,232
560,9,199,232
559,5,202,234
557,5,202,236
555,3,203,239
555,1,204,240
555,1,204,240
555,1,204,240
555,0,205,240
