susceptible,infected,dead,recovered
991,9,0,0
986,8,1,5
981,7,4,8
978,9,5,8
974,11,5,10
968,14,6,12
962,14,10,14
956,15,10,19
942,20,16,22
931,23,21,25
912,31,26,31
903,29,31,37
890,35,36,39
879,34,46,41
861,36,55,48
844,39,62,55
830,34,72,64
820,31,79,70
809,26,86,79
795,30,89,86
775,37,98,90
759,36,108,97
745,38,112,105
727,43,119,111
708,47,127,118
692,48,133,127
668,57,142,133
647,56,154,143
635,47,166,152
623,42,175,160
609,38,183,170
600,35,190,175
585,34,199,182
582,23,206,189
580,19,208,193
572,17,213,198
572,9,216,203
568,9,217,206
566,8,219,207
563,7,222,208
562,6,223,209
558,8,223,211
555,10,224,211
550,10,226,214
548,8,227,217
545,9,228,218
543,10,228,219
541,9,229,221
539,9,230,222
537,6,234,223
533,8,236,223
529,8,239,224
527,9,239,225
525,8,240,227
524,5,243,228
524,4,243,229
523,3,244,230
523,1,246,230
523,1,246,230
522,2,246,230
522,2,246,230
521,3,246,230
521,1,247,231
521,1,247,231
520,2,247,231
520,2,247,231
520,2,247,231
520,2,247,231
520,1,247,232
520,1,247,232
520,1,247,232
520,1,247,232
520,1,247,232
520,0,248,232
