susceptible,infected,dead,recovered
3994,6,0,0
3991,8,1,0
3988,8,2,2
3982,11,5,2
3969,21,8,2
3948,35,11,6
3919,50,20,11
3884,67,38,11
3839,90,56,15
3769,134,77,20
3666,190,114,30
3552,241,170,37
3368,365,222,45
3093,538,307,62
2778,717,423,82
2387,905,594,114
1972,1067,816,145
1622,1107,1079,192
1301,1107,1348,244
1059,1054,1607,280
878,929,1870,323
760,782,2084,374
673,659,2263,405
624,525,2415,436
585,422,2534,459
562,318,2640,480
547,249,2702,502
534,189,2763,514
526,142,2808,524
516,112,2845,527
509,88,2874,529
503,71,2892,534
502,53,2908,537
499,40,2924,537
499,25,2938,538
499,14,2947,540
499,12,2949,540
499,8,2952,541
499,7,2953,541
499,4,2955,542
499,4,2955,542
499,4,2955,542
499,2,2957,542
499,1,2957,543
499,1,2957,543
499,1,2957,543
499,1,2957,543
499,0,2958,543
