susceptible,infected,dead,recovered
593,7,0,0
591,7,2,0
587,8,4,1
586,7,6,1
583,10,6,1
576,16,7,1
569,23,7,1
563,24,9,4
552,29,15,4
544,29,21,6
533,34,26,7
525,36,30,9
510,44,36,10
502,44,43,11
487,48,53,12
475,53,59,13
453,61,71,15
436,65,81,18
421,62,96,21
405,65,108,22
390,71,117,22
373,72,132,23
359,71,145,25
353,66,153,28
341,62,167,30
335,54,177,34
329,47,188,36
325,42,197,36
319,41,204,36
313,39,212,36
308,32,224,36
305,30,229,36
304,24,234,38
300,22,240,38
299,17,244,40
298,13,246,43
298,11,248,43
297,11,248,44
296,11,249,44
295,11,249,45
295,10,249,46
294,11,249,46
293,9,252,46
292,7,255,46
292,5,257,46
292,4,258,46
292,3,259,46
291,2,261,46
291,2,261,46
290,3,261,46
290,3,261,46
290,3,261,46
290,2,262,46
290,2,262,46
290,2,262,46
290,1,263,46
290,0,264,46
