susceptible,infected,dead,recovered
1993,7,0,0
1983,14,2,1
1964,27,3,6
1942,38,8,12
1905,56,22,17
1866,76,32,26
1803,115,43,39
1735,140,62,63
1630,185,89,96
1496,246,130,128
1342,314,174,170
1162,367,247,224
973,421,306,300
788,463,385,364
636,451,484,429
489,440,569,502
384,375,658,583
304,316,719,661
246,246,784,724
216,183,838,763
192,129,879,800
180,100,904,816
169,74,921,836
160,61,930,849
155,43,938,864
152,27,946,875
149,22,950,879
148,14,954,884
148,11,957,884
148,7,959,886
148,3,962,887
148,2,963,887
148,1,963,888
148,0,963,889
