susceptible,infected,dead,recovered
6997,3,0,0
6995,4,0,1
6991,6,1,2
6984,10,1,5
6976,13,1,10
6967,19,2,12
6951,28,3,18
6926,42,9,23
6888,66,9,37
6819,108,14,59
6723,170,29,78
6583,250,54,113
6353,392,81,174
6010,603,127,260
5479,906,199,416
4806,1241,309,644
3984,1610,450,956
3136,1904,652,1308
2370,1996,904,1730
1844,1777,1172,2207
1472,1510,1397,2621
1234,1215,1582,2969
1094,915,1738,3253
1008,669,1855,3468
957,483,1937,3623
918,357,1987,3738
890,247,2039,3824
869,189,2065,3877
858,127,2087,3928
854,90,2104,3952
846,60,2120,3974
843,44,2129,3984
841,26,2134,3999
841,18,2137,4004
841,11,2139,4009
840,6,2142,4012
840,4,2142,4014
839,4,2142,4015
839,3,2142,4016
839,2,2142,4017
839,1,2142,4018
839,1,2142,4018
839,1,2142,4018
839,0,2142,4019
