susceptible,infected,dead,recovered
1994,6,0,0
1993,4,2,1
1993,3,3,1
1991,4,3,2
1984,11,3,2
1980,12,6,2
1973,18,7,2
1964,24,9,3
1949,35,13,3
1933,40,22,5
1918,43,30,9
1902,49,38,11
1888,54,45,13
1871,57,55,17
1859,50,71,20
1834,59,82,25
1818,59,94,29
1801,59,106,34
1782,58,120,40
1772,54,130,44
1758,60,136,46
1739,69,143,49
1720,68,158,54
1690,81,171,58
1667,89,183,61
1649,87,197,67
1622,80,222,76
1608,70,241,81
1591,66,258,85
1577,59,274,90
1569,51,290,90
1562,42,301,95
1555,35,313,97
1541,35,323,101
1537,29,331,103
1529,28,339,104
1524,28,342,106
1514,29,351,106
1510,22,361,107
1504,21,368,107
1498,20,375,107
1493,20,378,109
1490,19,381,110
1486,17,386,111
1482,16,390,112
1479,12,394,115
1479,8,396,117
1478,8,396,118
1478,6,397,119
1472,9,400,119
1472,4,403,121
1472,2,405,121
1472,0,406,122
