susceptible,infected,dead,recovered
6990,10,0,0
6973,26,1,0
6962,29,7,2
6951,29,14,6
6934,36,21,9
6916,45,26,13
6884,64,37,15
6849,82,51,18
6795,116,68,21
6735,152,83,30
6651,188,110,51
6551,229,153,67
6429,280,198,93
6282,354,257,107
6080,442,341,137
5850,531,440,179
5542,668,549,241
5213,791,688,308
4825,936,860,379
4413,1075,1049,463
3977,1183,1270,570
3548,1228,1545,679
3094,1313,1802,791
2696,1288,2106,910
2340,1252,2372,1036
2035,1192,2626,1147
1748,1107,2869,1276
1517,973,3106,1404
1338,855,3315,1492
1181,758,3504,1557
1065,644,3678,1613
982,515,3828,1675
902,431,3940,1727
839,353,4027,1781
793,289,4099,1819
754,236,4159,1851
723,195,4206,1876
701,152,4251,1896
686,123,4286,1905
676,93,4315,1916
674,58,4342,1926
672,41,4355,1932
670,26,4365,1939
670,19,4369,1942
669,15,4371,1945
668,12,4374,1946
667,8,4376,1949
667,8,4376,1949
667,4,4379,1950
667,3,4380,1950
667,1,4382,1950
667,1,4382,1950
667,1,4382,1950
666,1,4383,1950
666,1,4383,1950
666,0,4384,1950
