susceptible,infected,dead,recovered
598,2,0,0
597,3,0,0
595,4,1,0
594,5,1,0
591,8,1,0
589,9,1,1
587,7,2,4
584,10,2,4
583,11,2,4
579,14,3,4
572,20,4,4
569,22,5,4
562,29,5,4
556,33,7,4
549,38,8,5
543,39,12,6
538,43,13,6
528,46,17,9
517,54,19,10
510,59,19,12
496,70,21,13
477,84,25,14
463,93,29,15
443,99,37,21
424,105,48,23
407,115,53,25
385,124,65,26
361,130,75,34
344,135,84,37
325,140,92,43
303,141,107,49
276,155,115,54
257,160,126,57
239,162,139,60
225,153,153,69
211,146,169,74
200,143,179,78
179,144,194,83
164,144,206,86
153,143,215,89
145,136,225,94
139,130,235,96
132,128,241,99
120,130,246,104
115,121,256,108
110,114,266,110
104,101,279,116
95,100,287,118
85,100,295,120
82,94,301,123
76,90,307,127
67,83,317,133
66,77,322,135
64,74,326,136
59,70,332,139
57,69,335,139
53,61,346,140
53,54,351,142
50,50,358,142
48,42,366,144
47,37,371,145
45,38,372,145
45,31,377,147
45,27,380,148
45,25,381,149
45,23,382,150
44,23,383,150
43,22,385,150
43,20,387,150
43,19,388,150
42,18,389,151
41,18,390,151
40,16,393,151
40,15,394,151
40,15,394,151
39,16,394,151
38,14,396,152
38,14,396,152
38,13,396,153
38,12,397,153
37,12,398,153
36,10,401,153
35,11,401,153
34,11,402,153
34,11,402,153
34,11,402,153
34,9,404,153
32,11,404,153
32,9,406,153
32,9,406,153
32,8,406,154
32,7,407,154
32,7,407,154
32,7,407,154
31,8,407,154
31,7,407,155
31,6,407,156
30,7,407,156
30,6,408,156
30,5,408,157
30,5,408,157
30,5,408,157
30,4,408,158
30,4,408,158
30,4,408,158
30,4,408,158
30,4,408,158
30,4,408,158
29,4,409,158
29,4,409,158
29,3,410,158
29,3,410,158
28,4,410,158
28,4,410,158
28,4,410,158
27,5,410,158
27,5,410,158
27,5,410,158
27,4,411,158
27,4,411,158
27,4,411,158
26,4,412,158
26,4,412,158
26,2,412,160
26,1,413,160
26,1,413,160
26,1,413,160
26,0,413,161
