susceptible,infected,dead,recovered
994,6,0,0
991,4,3,2
989,3,3,5
987,4,3,6
986,2,4,8
985,3,4,8
981,7,4,8
972,13,5,10
964,15,8,13
953,21,10,16
943,21,15,21
928,26,22,24
918,24,29,29
905,27,32,36
891,30,37,42
879,31,42,48
867,32,46,55
853,36,53,58
843,39,57,61
829,37,62,72
820,30,72,78
810,26,78,86
799,24,86,91
788,27,86,99
777,28,92,103
768,24,100,108
760,23,104,113
750,26,107,117
746,21,112,121
744,10,117,129
742,9,120,129
739,9,120,132
736,7,120,137
735,5,121,139
735,1,121,143
735,1,121,143
735,1,121,143
735,0,121,144
