susceptible,infected,dead,recovered
3990,10,0,0
3978,18,4,0
3964,30,5,1
3945,36,14,5
3924,42,22,12
3914,35,29,22
3893,51,30,26
3869,60,37,34
3833,75,48,44
3797,91,58,54
3751,117,71,61
3691,140,91,78
3617,168,115,100
3529,208,140,123
3432,247,171,150
3343,252,219,186
3241,292,251,216
3109,344,295,252
2976,376,360,288
2842,406,408,344
2674,471,463,392
2499,513,536,452
2322,558,614,506
2149,592,682,577
1978,584,777,661
1811,594,861,734
1674,556,948,822
1527,557,1031,885
1404,526,1107,963
1280,494,1194,1032
1167,464,1268,1101
1092,415,1345,1148
1027,359,1399,1215
974,312,1455,1259
928,269,1506,1297
898,224,1543,1335
872,195,1574,1359
844,173,1601,1382
814,158,1626,1402
788,148,1647,1417
764,129,1672,1435
741,115,1695,1449
731,92,1716,1461
721,79,1725,1475
706,71,1741,1482
692,64,1754,1490
684,54,1764,1498
676,52,1771,1501
670,38,1785,1507
665,31,1796,1508
661,23,1802,1514
659,17,1808,1516
655,17,1809,1519
653,12,1813,1522
650,11,1816,1523
649,9,1817,1525
649,8,1818,1525
647,8,1819,1526
645,10,1819,1526
643,8,1821,1528
643,3,1823,1531
642,4,1823,1531
642,2,1824,1532
642,2,1824,1532
642,1,1825,1532
642,1,1825,1532
642,1,1825,1532
642,1,1825,1532
642,1,1825,1532
642,1,1825,1532
641,1,1826,1532
641,0,1826,1533
