susceptible,infected,dead,recovered
9991,9,0,0
9990,8,1,1
9989,9,1,1
9987,9,2,2
9987,8,2,3
9987,7,2,4
9986,8,2,4
9986,8,2,4
9985,5,3,7
9985,4,3,8
9985,3,3,9
9985,2,3,10
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9985,1,3,11
9984,2,3,11
9984,1,3,12
9984,1,3,12
9984,1,3,12
9984,1,3,12
9984,1,3,12
9984,1,3,12
9984,1,3,12
9984,1,3,12
9984,0,4,12
