susceptible,infected,dead,recovered
1993,7,0,0
1981,16,2,1
1962,28,5,5
1928,50,11,11
1875,84,21,20
1793,133,41,33
1671,195,74,60
1513,268,118,101
1319,343,174,164
1125,393,235,247
927,418,318,337
754,396,412,438
625,355,484,536
532,282,559,627
477,219,612,692
440,151,665,744
421,102,701,776
412,73,720,795
402,57,729,812
393,38,744,825
385,33,749,833
381,16,760,843
379,12,762,847
377,11,765,847
375,9,766,850
373,9,767,851
372,6,769,853
372,2,772,854
372,2,772,854
372,1,772,855
371,2,772,855
371,1,772,856
371,1,772,856
371,1,772,856
371,0,772,857
