susceptible,infected,dead,recovered
9992,8,0,0
9992,8,0,0
9988,10,1,1
9984,13,2,1
9979,17,3,1
9976,20,3,1
9952,44,3,1
9924,71,3,2
9892,103,3,2
9831,158,5,6
9764,219,8,9
9682,293,14,11
9555,410,18,17
9406,540,25,29
9203,722,35,40
8979,912,52,57
8736,1123,71,70
8443,1379,90,88
8145,1614,121,120
7836,1858,149,157
7488,2135,187,190
7146,2375,238,241
6807,2634,266,293
6463,2875,302,360
6137,3088,356,419
5818,3312,393,477
5507,3477,461,555
5194,3664,518,624
4906,3826,570,698
4638,3965,627,770
4341,4134,696,829
4081,4245,768,906
3834,4326,841,999
3619,4381,902,1098
3431,4404,976,1189
3230,4411,1066,1293
3068,4399,1143,1390
2911,4409,1215,1465
2766,4388,1288,1558
2641,4343,1352,1664
2521,4296,1412,1771
2391,4277,1476,1856
2288,4213,1558,1941
2194,4118,1651,2037
2107,4075,1699,2119
2022,4010,1769,2199
1933,3934,1845,2288
1851,3861,1911,2377
1786,3773,1987,2454
1725,3692,2052,2531
1669,3623,2106,2602
1625,3528,2166,2681
1579,3437,2238,2746
1537,3358,2291,2814
1499,3261,2359,2881
1463,3175,2411,2951
1444,3067,2472,3017
1404,2998,2516,3082
1384,2891,2572,3153
1356,2800,2624,3220
1318,2736,2672,3274
1291,2674,2718,3317
1273,2601,2760,3366
1256,2513,2805,3426
1235,2448,2852,3465
1213,2361,2897,3529
1195,2291,2942,3572
1176,2227,2983,3614
1156,2153,3031,3660
1142,2070,3073,3715
1123,2024,3108,3745
1109,1963,3140,3788
1095,1878,3186,3841
1083,1814,3218,3885
1074,1756,3244,3926
1067,1684,3283,3966
1062,1622,3310,4006
1055,1570,3338,4037
1049,1514,3364,4073
1044,1467,3390,4099
1037,1412,3415,4136
1030,1368,3437,4165
1023,1329,3456,4192
1018,1287,3477,4218
1013,1232,3500,4255
1006,1200,3517,4277
1004,1160,3542,4294
996,1130,3555,4319
994,1085,3578,4343
991,1047,3595,4367
983,1010,3614,4393
978,983,3628,4411
976,940,3650,4434
974,903,3667,4456
973,870,3686,4471
971,839,3704,4486
966,814,3721,4499
963,773,3741,4523
962,749,3751,4538
959,718,3763,4560
958,690,3775,4577
957,671,3785,4587
954,651,3793,4602
954,629,3808,4609
952,612,3818,4618
950,592,3823,4635
950,576,3829,4645
950,555,3837,4658
948,541,3843,4668
947,515,3855,4683
947,499,3861,4693
947,485,3867,4701
946,458,3877,4719
946,443,3884,4727
945,424,3893,4738
945,416,3896,4743
945,394,3908,4753
944,378,3917,4761
944,363,3926,4767
944,350,3928,4778
944,340,3936,4780
943,327,3942,4788
942,317,3948,4793
942,307,3953,4798
942,291,3959,4808
942,281,3966,4811
942,270,3970,4818
942,263,3973,4822
942,254,3976,4828
942,248,3978,4832
942,243,3980,4835
942,234,3986,4838
942,223,3991,4844
941,217,3994,4848
941,210,3997,4852
941,204,4002,4853
941,199,4003,4857
941,191,4007,4861
941,187,4009,4863
941,185,4009,4865
941,178,4012,4869
941,169,4016,4874
941,163,4020,4876
941,151,4025,4883
941,144,4029,4886
