date,state,positive,negative,totalTestResults,death
2020-03-06,AK,0,8,8,0
2020-03-07,AK,0,12,12,0
2020-03-08,AK,0,14,14,0
2020-03-09,AK,0,23,23,0
2020-03-10,AK,0,23,23,0
2020-03-11,AK,0,46,46,0
2020-03-12,AK,0,46,46,0
2020-03-13,AK,1,59,60,0
2020-03-14,AK,1,143,144,0
2020-03-15,AK,1,143,144,0
2020-03-16,AK,1,143,144,0
2020-03-17,AK,3,334,337,0
2020-03-18,AK,6,406,412,0
2020-03-19,AK,6,432,438,0
2020-03-20,AK,12,686,698,0
2020-03-21,AK,14,758,772,0
2020-03-22,AK,22,946,968,0
2020-03-23,AK,22,946,968,0
2020-03-24,AK,36,986,1022,0
2020-03-25,AK,42,1649,1691,1
2020-03-26,AK,59,1801,1860,1
2020-03-27,AK,69,2319,2388,1
2020-03-28,AK,85,2836,2921,2
2020-03-29,AK,102,3232,3334,2
2020-03-30,AK,114,3540,3654,3
2020-03-31,AK,119,3594,3713,3
2020-04-01,AK,133,4470,4603,3
2020-04-02,AK,143,4879,5022,3
2020-04-03,AK,157,5859,6016,3
2020-04-04,AK,171,5869,6040,5
2020-04-05,AK,185,6099,6284,6
2020-04-06,AK,191,6692,6883,6
2020-04-07,AK,213,6700,6913,6
2020-04-08,AK,226,6842,7068,7
2020-04-09,AK,235,6988,7223,7
2020-04-10,AK,246,7186,7432,7
2020-04-11,AK,257,7475,7732,8
2020-04-12,AK,272,7766,8038,8
2020-04-13,AK,277,7553,7830,8
2020-04-14,AK,285,8063,8348,9
2020-04-15,AK,293,8371,8664,9
2020-04-16,AK,300,8435,8735,9
2020-04-17,AK,309,9141,9450,9
2020-04-18,AK,314,9341,9655,9
2020-04-19,AK,319,9576,9895,9
2020-04-20,AK,321,9803,10124,9
2020-04-21,AK,329,10790,11119,9
2020-04-22,AK,335,11824,12159,9
2020-04-23,AK,337,11824,12161,9
2020-04-24,AK,339,11942,12281,9
2020-04-25,AK,339,15393,15732,9
2020-04-26,AK,341,15836,16177,9
2020-04-27,AK,345,15911,16256,9
2020-04-28,AK,351,16738,17089,9
2020-04-29,AK,355,18764,19119,9
2020-04-30,AK,355,18764,19119,9
2020-05-01,AK,364,19961,20325,9
2020-05-02,AK,365,21034,21399,9
2020-05-03,AK,368,21210,21578,9
2020-05-04,AK,370,21353,21723,9
2020-05-05,AK,371,22321,22692,9
2020-05-06,AK,372,23283,23655,10
2020-05-07,AK,374,23967,24341,10
2020-05-08,AK,377,25096,25473,10
2020-05-09,AK,378,26071,26449,10
2020-05-10,AK,379,26985,27364,10
2020-05-11,AK,381,28299,28680,10
2020-05-12,AK,383,29578,29961,10
2020-05-13,AK,383,30266,30649,10
2020-05-14,AK,387,31375,31762,10
2020-05-15,AK,388,32030,32418,10
2020-05-16,AK,392,32889,33281,10
2020-05-17,AK,396,34255,34651,10
2020-05-18,AK,399,35212,35611,10
2020-05-19,AK,399,35981,36380,10
2020-05-20,AK,402,36643,37045,10
2020-05-21,AK,402,39143,39545,10
2020-05-22,AK,404,41042,41446,10
2020-05-23,AK,408,41943,42351,10
2020-05-24,AK,408,43099,43507,10
2020-05-25,AK,409,44063,44472,10
2020-05-26,AK,411,44553,44964,10
2020-05-27,AK,412,45951,46363,10
2020-05-28,AK,425,47545,47970,10
2020-05-29,AK,430,49009,49439,10
2020-05-30,AK,434,51261,51695,10
2020-05-31,AK,434,51261,51695,10
2020-06-01,AK,467,53723,54190,10
2020-06-02,AK,487,55716,56203,10
2020-06-03,AK,505,57677,58182,10
2020-06-04,AK,513,59584,60097,10
