date,country,positive,totalTestResults,death
2020-03-13,ABW,2.0,,0.0
2020-03-20,ABW,4.0,,0.0
2020-03-24,ABW,12.0,,0.0
2020-03-25,ABW,17.0,,0.0
2020-03-26,ABW,19.0,,0.0
2020-03-27,ABW,28.0,,0.0
2020-03-28,ABW,28.0,,0.0
2020-03-29,ABW,28.0,,0.0
2020-03-30,ABW,50.0,,0.0
2020-04-01,ABW,55.0,,0.0
2020-04-02,ABW,55.0,,0.0
2020-04-03,ABW,60.0,,0.0
2020-04-04,ABW,62.0,,0.0
2020-04-05,ABW,64.0,,0.0
2020-04-06,ABW,64.0,,0.0
2020-04-07,ABW,71.0,,0.0
2020-04-08,ABW,74.0,,0.0
2020-04-09,ABW,77.0,,0.0
2020-04-10,ABW,82.0,,0.0
2020-04-11,ABW,86.0,,0.0
2020-04-12,ABW,92.0,,0.0
2020-04-13,ABW,92.0,,0.0
2020-04-14,ABW,92.0,,0.0
2020-04-15,ABW,92.0,,0.0
2020-04-16,ABW,93.0,,1.0
2020-04-17,ABW,95.0,,1.0
2020-04-18,ABW,96.0,,2.0
2020-04-19,ABW,96.0,,2.0
2020-04-20,ABW,97.0,,2.0
2020-04-21,ABW,97.0,,2.0
2020-04-22,ABW,97.0,,2.0
2020-04-23,ABW,100.0,,2.0
2020-04-24,ABW,100.0,,2.0
2020-04-25,ABW,100.0,,2.0
2020-04-26,ABW,100.0,,2.0
2020-04-27,ABW,100.0,,2.0
2020-04-28,ABW,100.0,,2.0
2020-04-29,ABW,100.0,,2.0
2020-04-30,ABW,100.0,,2.0
2020-05-01,ABW,100.0,,2.0
2020-05-02,ABW,100.0,,2.0
2020-05-03,ABW,100.0,,2.0
2020-05-04,ABW,100.0,,2.0
2020-05-05,ABW,100.0,,2.0
2020-05-06,ABW,100.0,,2.0
2020-05-07,ABW,101.0,,2.0
2020-05-08,ABW,101.0,,3.0
2020-05-09,ABW,101.0,,3.0
2020-05-10,ABW,101.0,,3.0
2020-05-11,ABW,101.0,,3.0
2020-05-12,ABW,101.0,,3.0
2020-05-13,ABW,101.0,,3.0
2020-05-14,ABW,101.0,,3.0
2020-05-15,ABW,101.0,,3.0
2020-05-16,ABW,101.0,,3.0
2020-05-17,ABW,101.0,,3.0
2020-05-18,ABW,101.0,,3.0
2020-05-19,ABW,101.0,,3.0
2020-05-20,ABW,101.0,,3.0
2020-05-21,ABW,101.0,,3.0
2020-05-22,ABW,101.0,,3.0
2020-05-23,ABW,101.0,,3.0
2020-05-24,ABW,101.0,,3.0
2020-05-25,ABW,101.0,,3.0
2020-05-26,ABW,101.0,,3.0
2020-05-27,ABW,101.0,,3.0
2020-05-28,ABW,101.0,,3.0
2020-05-29,ABW,101.0,,3.0
2020-05-30,ABW,101.0,,3.0
2020-05-31,ABW,101.0,,3.0
2020-06-01,ABW,101.0,,3.0
2020-06-02,ABW,101.0,,3.0
2020-06-03,ABW,101.0,,3.0
2020-06-04,ABW,101.0,,3.0
2020-06-05,ABW,101.0,,3.0
2020-06-06,ABW,101.0,,3.0
2020-06-07,ABW,101.0,,3.0
2020-06-08,ABW,101.0,,3.0
2020-06-09,ABW,101.0,,3.0
2020-06-10,ABW,101.0,,3.0
2020-06-11,ABW,101.0,,3.0
2020-06-12,ABW,101.0,,3.0
2020-06-13,ABW,101.0,,3.0
2020-06-14,ABW,101.0,,3.0
2020-06-15,ABW,101.0,,3.0
2020-06-16,ABW,101.0,,3.0
2020-06-17,ABW,101.0,,3.0
2020-06-18,ABW,101.0,,3.0
2020-06-19,ABW,101.0,,3.0
2020-06-20,ABW,101.0,,3.0
2020-06-21,ABW,101.0,,3.0
2020-06-22,ABW,101.0,,3.0
2020-06-23,ABW,101.0,,3.0
2020-06-24,ABW,101.0,,3.0
2020-06-25,ABW,101.0,,3.0
2020-06-26,ABW,101.0,,3.0
2020-06-27,ABW,101.0,,3.0
2020-06-28,ABW,101.0,,3.0
2020-06-29,ABW,101.0,,3.0
2020-06-30,ABW,103.0,,3.0
2020-07-01,ABW,103.0,,3.0
2020-07-02,ABW,103.0,,3.0
2020-07-03,ABW,104.0,,3.0
2020-07-04,ABW,104.0,,3.0
2020-07-05,ABW,105.0,,3.0
2020-07-06,ABW,105.0,,3.0
2020-07-07,ABW,105.0,,3.0
2020-07-08,ABW,105.0,,3.0
2020-07-09,ABW,105.0,,3.0
2020-07-10,ABW,105.0,,3.0
2020-07-11,ABW,105.0,,3.0
2020-07-12,ABW,105.0,,3.0
2020-07-13,ABW,105.0,,3.0
2020-07-14,ABW,105.0,,3.0
2020-07-15,ABW,106.0,,3.0
2020-07-16,ABW,106.0,,3.0
2020-07-17,ABW,108.0,,3.0
2020-07-18,ABW,108.0,,3.0
2020-07-19,ABW,108.0,,3.0
2020-07-20,ABW,113.0,,3.0
2020-07-21,ABW,115.0,,3.0
2020-07-22,ABW,117.0,,3.0
2020-07-23,ABW,117.0,,3.0
2020-07-24,ABW,117.0,,3.0
2019-12-31,AFG,0.0,,0.0
2020-01-01,AFG,0.0,,0.0
2020-01-02,AFG,0.0,,0.0
2020-01-03,AFG,0.0,,0.0
2020-01-04,AFG,0.0,,0.0
2020-01-05,AFG,0.0,,0.0
2020-01-06,AFG,0.0,,0.0
2020-01-07,AFG,0.0,,0.0
2020-01-08,AFG,0.0,,0.0
2020-01-09,AFG,0.0,,0.0
2020-01-10,AFG,0.0,,0.0
2020-01-11,AFG,0.0,,0.0
2020-01-12,AFG,0.0,,0.0
2020-01-13,AFG,0.0,,0.0
2020-01-14,AFG,0.0,,0.0
2020-01-15,AFG,0.0,,0.0
2020-01-16,AFG,0.0,,0.0
2020-01-17,AFG,0.0,,0.0
2020-01-18,AFG,0.0,,0.0
2020-01-19,AFG,0.0,,0.0
2020-01-20,AFG,0.0,,0.0
2020-01-21,AFG,0.0,,0.0
2020-01-22,AFG,0.0,,0.0
2020-01-23,AFG,0.0,,0.0
2020-01-24,AFG,0.0,,0.0
2020-01-25,AFG,0.0,,0.0
2020-01-26,AFG,0.0,,0.0
2020-01-27,AFG,0.0,,0.0
2020-01-28,AFG,0.0,,0.0
2020-01-29,AFG,0.0,,0.0
2020-01-30,AFG,0.0,,0.0
2020-01-31,AFG,0.0,,0.0
2020-02-01,AFG,0.0,,0.0
2020-02-02,AFG,0.0,,0.0
2020-02-03,AFG,0.0,,0.0
2020-02-04,AFG,0.0,,0.0
2020-02-05,AFG,0.0,,0.0
2020-02-06,AFG,0.0,,0.0
2020-02-07,AFG,0.0,,0.0
2020-02-08,AFG,0.0,,0.0
2020-02-09,AFG,0.0,,0.0
2020-02-10,AFG,0.0,,0.0
2020-02-11,AFG,0.0,,0.0
2020-02-12,AFG,0.0,,0.0
2020-02-13,AFG,0.0,,0.0
2020-02-14,AFG,0.0,,0.0
2020-02-15,AFG,0.0,,0.0
2020-02-16,AFG,0.0,,0.0
2020-02-17,AFG,0.0,,0.0
2020-02-18,AFG,0.0,,0.0
2020-02-19,AFG,0.0,,0.0
2020-02-20,AFG,0.0,,0.0
2020-02-21,AFG,0.0,,0.0
2020-02-22,AFG,0.0,,0.0
2020-02-23,AFG,0.0,,0.0
2020-02-24,AFG,0.0,,0.0
2020-02-25,AFG,1.0,,0.0
2020-02-26,AFG,1.0,,0.0
2020-02-27,AFG,1.0,,0.0
2020-02-28,AFG,1.0,,0.0
2020-02-29,AFG,1.0,,0.0
2020-03-01,AFG,1.0,,0.0
2020-03-02,AFG,1.0,,0.0
2020-03-08,AFG,4.0,,0.0
2020-03-11,AFG,7.0,,0.0
2020-03-15,AFG,10.0,,0.0
2020-03-16,AFG,16.0,,0.0
2020-03-17,AFG,21.0,,0.0
2020-03-18,AFG,22.0,,0.0
2020-03-19,AFG,22.0,,0.0
2020-03-20,AFG,22.0,,0.0
2020-03-21,AFG,24.0,,0.0
2020-03-22,AFG,24.0,,0.0
2020-03-23,AFG,34.0,,0.0
2020-03-24,AFG,40.0,,1.0
